nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"GRUPO ML","CL ANABEL SEGURA (DE) 11 -EDIFICIO A 4º PLANTA OFICINA B5",28100,"ARROYO DE LA VEGA",+34914840697,NO DISPONIBLE,"madrid@grupoml.net","http://www.grupoml.es","PILAR MARQUINA","","INMOBILIARIAS Y CONSTRUCTORAS","ALQUILER DE LOCALES COMERCIALES",40.53329719,-3.62708410
"GRUPO ML","CL ANABEL SEGURA (DE) 11 -EDIFICIO A 4º PLANTA OFICINA B1",28100,"ARROYO DE LA VEGA",+34914840697,NO DISPONIBLE,"madrid@grupoml.net","http://www.grupoml.es","PILAR MARQUINA","","INMOBILIARIAS Y CONSTRUCTORAS","ALQUILER DE LOCALES COMERCIALES",40.53329719,-3.62708410
"GRUPO ML","CL ANABEL SEGURA (DE) 11 -EDIFICIO A 4º PLANTA OFICINA B3",28100,"ARROYO DE LA VEGA",+34914840697,NO DISPONIBLE,"madrid@grupoml.net","http://www.grupoml.es","PILAR MARQUINA","","INMOBILIARIAS Y CONSTRUCTORAS","ALQUILER DE LOCALES COMERCIALES",40.53329719,-3.62708410
"GRUPO ML","CL ANABEL SEGURA (DE) 11 -EDIFICIO A 4º PLANTA OFICINA B2",28100,"ARROYO DE LA VEGA",+34914840697,NO DISPONIBLE,"madrid@grupoml.net","http://www.grupoml.es","PILAR MARQUINA","","INMOBILIARIAS Y CONSTRUCTORAS","ALQUILER DE LOCALES COMERCIALES",40.53329719,-3.62708410
"GRUPO MR","AV INDUSTRIA (DE LA) 53 - 3º",28108,"POLIGONO INDUSTRIAL",+34915560536,+34915563745,"mr@mrgrupo.com","http://www.mrgrupo.com","ISABEL PRADA","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","MANTENIMIENTO INDUSTRIAL",40.53361781,-3.65620683
"GRUPO MUNRECO","AV VALDELAPARRA (DE) 27",28108,"POLIGONO INDUSTRIAL",+34914848000,NO DISPONIBLE,"grupo.munreco@munreco.com","http://www.munreco.com","ALEJO MORA","","MAYORISTAS","COMERCIO AL POR MAYOR DE RELOJES Y SERVICIO TECNICO. DISTRIBUIDOR OFICIAL  VICEROY  SANDOZ Y MARK MADDOX",40.53889230,-3.64696818
"GRUPO MUNRECO","AV BRUSELAS (DE) 32",28108,"ARROYO DE LA VEGA",+34914848000,+34914848001,"grupo.munreco@munreco.com","http://www.munreco.com","ALEJO MORA","","JOYERIAS, RELOJERIAS","DISTRIBUIDOR OFICIAL DE MAURICE LACROIX, VICEROY Y SANDOZ",40.52985661,-3.64213073
"GRUPO NORTE A.E.S","CL JOSE ECHEGARAY (DE) 4 Esq. Avda. Doctor Severo Ochoa, 42, EDF. B-6",28100,"PARQUE EMP. CASABLANCA",916574087 / 600501133,NO DISPONIBLE,"recepcion.alcobendas@grupo-norte.es","http://www.grupo-norte.es","ALBA ROMAN GASCON","","GESTION DE PERSONAL. TRABAJO TEMPORAL","EMPRESA DE TRABAJO PERSONAL",40.54190758,-3.65466022
"GRUPO NORTE RR.HH ETT","CL JOSE ECHEGARAY (DE) 4 Esq .Avda. Doctor Servero Ochoa, 42, EDF. B-6",28100,"PARQUE EMP. CASABLANCA",916574084 / 600501133,NO DISPONIBLE,"recepcion.alcobendas@grupo-norte.es","http://www.grupo-norte.es","ALBA ROMAN GASCON","","GESTION DE PERSONAL. TRABAJO TEMPORAL","ETT, RECURSOS HUMANOS",40.54190758,-3.65466022
"GRUPO V","CL VALPORTILLO I (DE) 11 - PLANTA 2",28108,"POLIGONO INDUSTRIAL",+34916622137,+34916622654,"marmolpeceres@grupov.es","http://www.grupov.es","JUAN MANUEL MARTIN-MORENO CARNERO","","EDITORIALES","EDITORIAL DE REVISTAS Y PERIODICOS",40.53196972,-3.65409361
"GSTOCK WEB APP","CL VALPORTILLO I (DE) 5 2º PLANTA, 2A3",28108,"POLIGONO INDUSTRIAL",+34917373026,NO DISPONIBLE,"info@g-stock.es","http://www.g-stock.es","FEDERICO FRITZSCH","","INFORMATICA","SW PARA COMPRAS HOSTELERIA",40.53033366,-3.65403627
"GUI2","CL SAN RAFAEL (DE) 2",28108,"POLIGONO INDUSTRIAL",672989852 / 910148986,NO DISPONIBLE,"celestinofran@hotmail.com","http://www.gui2lavadero.com","GUIDO FRANCO","","LAVADO Y ENGRASE DE VEHICULOS","LAVADERO DE COCHES",40.52401140,-3.65820488
"GUIDA EXPRESS","AV INDUSTRIA (DE LA) 6 - LOCAL 15",28108,"POLIGONO INDUSTRIAL",+34918280270,NO DISPONIBLE,"nacional@guidaexpress.es","NO DISPONIBLE","DAVID GRAU","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","MENSAJERIA Y PAQUETERIA",40.53525212,-3.64306522
"HACH-LANGE SPAIN","CL VALGRANDE (DE) 8",28108,"POLIGONO INDUSTRIAL",+34916614829,+34913293135,"gonzalo.lopez@hach.com","http://www.hach.com","GONZALO LOPEZ GARCIA","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","SOLUCIONES Y ANALISIS DE AGUAS",40.53707501,-3.65013897
"HANAMI8","AV BRUSELAS (DE) 5 - EDIFICIO BRUSELAS",28108,"ARROYO DE LA VEGA",+34902570989,NO DISPONIBLE,"info@hanami8.com","http://www.hanami8.com","JOSE RAMOS","","INFORMATICA","CONSULTORIA Y SUMINISTRO DE PROGRAMAS DE INFORMATICA, SAP",40.53067721,-3.63274744
"HELADOS SOMOSIERRA","AV VALDELAPARRA (DE) 3",28108,"POLIGONO INDUSTRIAL",916617443 / 649450221 / 648287118,+34916615586,"cesarmiravalles@somosierra.eu","http://www.somosierra.eu","CESAR LUIS MIRAVALLES","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","FABRICA DE HELADOS",40.53737784,-3.64234265
"HELLERMANN TYTON ESPAÑA","AV INDUSTRIA (DE LA) 37 - 2ª 2ª",28108,"POLIGONO INDUSTRIAL",+34916612835,+34916612368,"hellermanntyton@hellermanntyton.es","http://www.hellermanntyton.es","ROBERTO GARCIA","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","DISTRIBUIDORES DE MATERIAL ELECTRICO Y ELECTRONICO",40.53389907,-3.65273873
"HELM IBERICA","CR FUENCARRAL (DE) 24 - EDIFICIO EUROPA I PORTAL 2 PALANTA 1-3",28108,"POLIGONO INDUSTRIAL",+34916574370,+34916615322,"info@hem.es","http://www.helmiberica.com","ESTHER BRAVO","","SECTOR QUIMICO","COMERCIO AL POR MAYOR DE PRODUCTOS QUIMICOS",40.51888227,-3.65470622
"HERMANOS BRAVO VAZQUEZ","CL MANUEL DE FALLA (DE) 12 - 1º 4",28100,"CASCO URBANO",+34916542700,+34916542689,"hbv@ghbv.es","http://www.autocares-hbv.com","ALBERTO BRAVO VAZQUEZ","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","TRANSPORTES",40.54895171,-3.64845751
"HERMANOS VEGUILLAS","CL VALGRANDE (DE) 23 - NAVE 13",28108,"POLIGONO INDUSTRIAL",+34916610477,+34916615854,"info@hermanosveguillas.com","http://www.hermanosveguillas.com","AGUSTIN VEGUILLAS HERNANDEZ","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","ARTES GRAFICAS",40.53747675,-3.65237783
"HERSAMOTOR (TOYOTA)","AV VALDELAPARRA (DE) 3",28108,"POLIGONO INDUSTRIAL",914840784 / 647834250,+34916611113,"caja2.alcobendas@hersamotor.net","http://www.hersamotor.toyota.es","EUGENIO BARTOLOME","","VENTA DE VEHICULOS A MOTOR. CONCESIONARIO OFICIAL","VENTA Y ALQUILER DE COCHES",40.53737784,-3.64234265
"HGH","AV INDUSTRIA (DE LA) 4 -EDF. 1 ESC.2  1º",28108,"POLIGONO INDUSTRIAL",+34902551360,NO DISPONIBLE,"info@hghst.es","http://www.hghst.es","HECTOR IZQUIERDO","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","BIOMECANICA Y RECONSTRUCCION DE ACCIDENTES",40.53543008,-3.64232167
"HIERROS LOZANO","CL VALGRANDE (DE) 23 - NAVE 11",28108,"POLIGONO INDUSTRIAL",+34916611409,NO DISPONIBLE,"info@hierroslozano.com","http://www.hierroslozano.com","CESAR LOZANO MIRANDA","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","COMERCIO AL POR MENOR DE TODOS LOS METALES",40.53803681,-3.65231875
"HOLLISTER","AV BRUSELAS (DE) 13 2D EDIF. AMERICA",28100,"ARROYO DE LA VEGA",+34913838727,NO DISPONIBLE,"azucena.sanz@hollister.com","http://www.hollister.com/spain","AZUCENA SANZ","","FARMACIAS, ORTOPEDIAS","PRODUCTOS SANITARIOS",40.53108558,-3.63464912
"HORNO DE PASTELERIA SAN LORENZO","CL VALGRANDE (DE) 21 - NAVE 2 K",28108,"POLIGONO INDUSTRIAL",+34916613932,+34916611922,"info@hornosanlorenzo.com","http://www.hornosanlorenzo.com","JULIO FRANCISCO RODRIGUEZ","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","FABRICACION DE REPOSTERIA",40.53715916,-3.65156135
"HOTEL AMURA ALCOBENDAS","AV VALDELAPARRA (DE) 2 -BAJO",28100,"POLIGONO INDUSTRIAL",917874545/911732890,NO DISPONIBLE,"reservas@hotelamura.com","http://www.hotelamura.com","GONZALO MARCOS","","HOSTALES, CASAS DE HUESPEDES Y  HOTELES","HOTEL Y RESTAURANTE",40.53597421,-3.64147100
"HUGO GONZALEZ LOZANO","CR FUENCARRAL (DE) 24 - EDIF. EUROPA, PORTAL 1, PLANTA 3ª",28108,"POLIGONO INDUSTRIAL",+34915541436,NO DISPONIBLE,"info@target-tecnologia.es","http://www.target-tecnologia.es","GONZALO ROLANDI TORQUEMADA","","SERVICIOS DE SEGURIDAD, PREVENCION Y EMERGENCIAS. RIESGOS LABORALES","EQUIPAMIENTO ELECTRONICO DESTINADO A LA SEGURIDAD (DETECCION DE EXPLOSIVOS, ARMAS Y EQUIPAMIENTO DE USO POLICIAL Y MILITAR.",40.51888227,-3.65470622
"HUNTER DOUGLAS ESPAÑA","CL GRANJA (DE LA) 15 -EDIF. B PLANTA 1",28108,"POLIGONO INDUSTRIAL",+34916618900,+34916611566,"contabilidad@hunterdouglasespaña.es","http://www.luxaflex.es","OLIVIA GONZALEZ","","TRATAMIENTO DEL METAL, CARPINTERIA METALICA, CERRAJERIA, PERSIANAS Y TOLDOS. SOLDADURAS","DISTRIBUCION Y VENTA DE PERSIANAS Y CORTINAS",40.52911402,-3.65827511
"IBECOSOL","CL GRANJA (DE LA) 15 - EDIF. B2B",28108,"POLIGONO INDUSTRIAL",+34913509520,+34913503274,"info@ibecosol.es","http://www.ibecosol.es","FERNANDO GUTIERREZ ANTON","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","PRODUCTOS PARA BARBACOAS Y CHIMENEAS",40.52911402,-3.65827511
"IBERFLUID","CL FRANCISCO GERVAS (DE) 11",28108,"POLIGONO INDUSTRIAL",+34916611717,NO DISPONIBLE,"madrid@iberfluid.com","http://www.iberfluid.com","FERRAN SUBIRA CALVET","","SECTOR QUIMICO","DISTRIBUCION Y VENTA DE SISTEMAS E INSTRUMENTACION PARA LA MEDICION Y EL CONTROL DE PROCESOS INDUSTRIALES",40.53299342,-3.65216334
"IBERICA DE MANTENIMIENTO, S.A.","AV VALDELAPARRA (DE) 27 -EDIF-2 -2  LOCAL 13",28108,"POLIGONO INDUSTRIAL",976750600 - 916619050,NO DISPONIBLE,"recursos_humanos@ibermansa.com","http://www.ibermansa.com","JOSÉ LÓPEZ","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","INSTALACIONES ELECTRICAS EN GENERAL",40.53889230,-3.64696818
"IBERMUTUA","CL SEPULVEDA (DE) 13 -BAJO",28108,"POLIGONO INDUSTRIAL",+34916610034,+34916614220,"inigoelorza@ibermutua.es","http://www.ibermutua.es","IÑIGO ELORZA","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","MUTUA DE ACCIDENTES DE TRABAJO Y ENFERMEDADES PROFESIONALES DE LA SEGURIDAD SOCIAL",40.52886109,-3.65321427
"IBEROCHINA","CL VALGRANDE (DE) 25",28108,"POLIGONO INDUSTRIAL",+34915794230,NO DISPONIBLE,"madrid@orientalmarket.es","http://www.orientalmarket.es","SHAN","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","DISTRIBUCION DE ALIMENTACION",40.53807251,-3.65318535
"IBEROCHINA INTERNACIONAL","AV PEÑALARA 23",28108,"POLIGONO INDUSTRIAL",916616312/915794230,+34915720336,"madrid@orientalmarket.es","http://www.orientalmarket.es","SHAN","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","ALMACEN DE PRODUCTOS DE ALIMENTACION, ENVASADOS",40.53698614,-3.66446258
"IBEROLACTAL","AV VALDELAPARRA (DE) 27 - NAVE 22",28108,"POLIGONO INDUSTRIAL",916621017 / 607717244,+34916617816,"vgonzalez@iberolactal.com","http://www.iberolactal.com","VICTORIANO GONZALEZ MARTIN","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","COMERCIO AL POR MAYOR DE LECHE, PRODUCTOS LÁCTEOS, MIEL, ACEITES Y GRASAS COMESTIBLES",40.53889230,-3.64696818
"IBEROLACTAL HISPANIA","AV VALDELAPARRA (DE) 27 NAVE 22",28108,"POLIGONO INDUSTRIAL",916621017/916621393,+34916617816,"comercial@iberolactal.com","http://WWW.IBEROLACTAL.COM","VICTORIANO GONZALEZ  MARTIN","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","VENTA AL POR MAYOR Y AL POR MENOR DE TODA CLASE DE PRODUCTOS ALIMENTICIOS.",40.53889230,-3.64696818
"IDEAS EN IMPRESION","CL MARQUES DE LA VALDAVIA (D 79",28100,"CASCO URBANO",916624979 / 9166114952,+34916624403,"pedidos@ideasei.com","http://www.ideasei.com","JESUS MARTIN CALVO","","EQUIPOS Y MATERIAL  DE OFICINA","SUMINISTRO INTEGRAL DE MATERIAL DE OFICINA E IMPRENTA",40.54561408,-3.64559614
"IEDEP","CL RAMON Y CAJAL (DE) 5 -OFICINA 25C",28100,"CENTRO DE EMPRESAS",+34644743898,NO DISPONIBLE,"susana@iedep.net","http://www.iedep.net","SUSANA NUÑEZ SAN ROMAN","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA Y COACHING",40.54250148,-3.65225970
"IEPE","CL VALGRANDE (DE) 23 -ACCESO K",28108,"POLIGONO INDUSTRIAL",+34916537211,NO DISPONIBLE,"iepe@iepe.es","http://www.redext.com","ALMUDENA LÓPEZ","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","VENTA, COMERCIALIZACIÓN, INSTALACIÓN, MANTENIMIENTO, ROTULACIÓN y EXPLOTACIÓN DE ELEMENTOS PUBLICITARIOS",40.53803681,-3.65231875
"IESMAT","CL CALENDULA (DE LA) 95 - MINIPARC II",28109,"MINI-PARC",+34902012027,+34916507990,"info@iesmat.com","http://www.iesmat.com","MIGUEL ANGEL ABAD MARTIN-CAMUÑAS","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","DISTRIBUCION DE INSTRUMENTACION DE LABORATORIO",40.52792964,-3.64446628
"ILUMINACION FM","AV INDUSTRIA (DE LA) 52",28108,"POLIGONO INDUSTRIAL",+34916610625,NO DISPONIBLE,"info@iluminacionfm.com","http://www.iluminacionfm.com","JORGE MORENO","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","ALQUILER EQUIPOS ILUMINACION PARA PUBLICIDAD",40.53375566,-3.65658023
"ILUMINACIONES MEDINA","AV INDUSTRIA (DE LA) 32 - NAVE 11",28108,"POLIGONO INDUSTRIAL",+34916574220,+34916574220,"iluminacionesmedina@gmail.com","http://www.iluminacion-medina.es","BASILIO MEDINA","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","ALQUILER MATERIAL ILUMINACION DE CINE",40.53412153,-3.65245488
"IMASATEC","CR FUENCARRAL (DE) 56 -OFICINA 60",28108,"POLIGONO INDUSTRIAL",+34913198706,NO DISPONIBLE,"imasatec@imasatec.es","http://www.imasatec.es","MIGUEL ANGEL GUERRA PEÑA","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","CONSTRUCCION EN GENERAL",40.51888227,-3.65470622
"IMPERMEABILIZACIONES ESPAÑOLAS","CL GRANJA (DE LA) 9",28108,"POLIGONO INDUSTRIAL",+34914901494,+34916621863,"imper-espanolas@imper-espanolas.com","http://www.imper-espanolas.com","JOSE ANTONIO PAVON VALIENTE","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","IMPERMEABILIZACIONES Y AISLAMIENTO",40.52807122,-3.65874057
"IMPORMOVIL, S.A.","CL VALGRANDE (DE) 20 - NAVE 2",28108,"POLIGONO INDUSTRIAL",916610112 / 656809186,+34916613255,"madrid6@impormovil.es","http://www.impormovil.es","ANTONIO TAPIAS","","REPUESTOS Y ACCESORIOS  DE VEHICULOS","DISTRIBUCION DE RECAMBIOS DEL AUTOMOVIL EN GENERAL Y VEHICULOS INDUSTRIALES",40.53837705,-3.65201385
"IMPORTACIONES Y EXPORTACIONES VARMA, S.A.","CL GRANJA (DE LA) 15",28108,"POLIGONO INDUSTRIAL",+34916618210,+34916620063,"info@varma.com","http://www.varma.com","CARLOS LÓPEZ","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","IMPORTACIÓN Y DISTRIBUCIÓN DE VINOS Y LICORES Y PRODUCTOS DE ALIMENTACIÓN",40.52911402,-3.65827511
"IMPRE LASER, S.L.","AV DOCTOR SEVERO OCHOA (DEL) 37 - NAVE 4 E",28100,"PARQUE EMP. CASABLANCA",+34916626591,+34916622141,"informatica@imprelaser.es","NO DISPONIBLE","AVELINO MIRANDA","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING DIRECTO",40.54136786,-3.65322389
"INARI","CR FUENCARRAL (DE) 44 PORTAL 3, OFICINA 33",28108,"POLIGONO INDUSTRIAL",+34913408923,NO DISPONIBLE,"administracion@inarilt.com","http://www.inarilt.com","FRANCISCO REQUENA","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA DE TRANSFORMACION DIGITAL EN RRHH",40.51888227,-3.65470622
"INDRA SISTEMAS SA","AV BRUSELAS (DE) 35",28108,"ARROYO DE LA VEGA",+34914805000,+34914805080,"cperezay@indra.es","http://www.indra.es","CARMEN PEREZ AYUSO","","INFORMATICA","ACTIVIDADES INFORMATICAS. TECNOLOGIAS DE LA NFORMACION",40.52843954,-3.64274512
"INDRA SISTEMAS SA","CL SAN JULIAN (DE) 1",28108,"POLIGONO INDUSTRIAL",+34914807000,+34914807333,"indra@indracompany.com","http://www.indra.es","NO DISPONIBLE","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","TELECOMUNICACIONES. TECNOLOGIAS DE LA INFORMACION",40.53528549,-3.64520358
"INDUSTRIAS DEL PAPEL HERRANZ, S.A.","CL TORRES QUEVEDO (DE) 4",28108,"POLIGONO INDUSTRIAL",+34916610073,+34916614533,"herranzsa@hotmail.com","NO DISPONIBLE","ENRIQUE HERRANZ","","MEDIOAMBIENTE. RECUPERACION Y RECICLADO","RECUPERACION DE TODO TIPO DE PAPEL, CARTON Y PALETS. SERVICIO DE CONTENEDORES PARA RETIRADA DE RESIDUOS EN LAS EMPRESAS",40.53456885,-3.65496836
"INFECO 97, S.L.","CL GRANJA (DE LA) 1 - LOCAL 5",28108,"POLIGONO INDUSTRIAL",916623595 / 669361239,+34916624216,"info@infeco97.com","http://www.infeco97.com","JOSE ANTONIO MANSO","","FERRETERIAS. MENAJE","SUMINISTROS INDUSTRIALES (FERRETERIA)",40.52614137,-3.66002015
"INFINIA MOBILE","AV INDUSTRIA (DE LA) 6 - 2ª PLANTA, OFICINA 6-B",28108,"POLIGONO INDUSTRIAL",+34662357225,NO DISPONIBLE,"infinia@infiniamobile.com","http://www.infiniamobile.com","LIDIA LOUREIRO","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","MARKETING Y PUBLICIDAD",40.53525212,-3.64306522
"INFORMA D & B","AV INDUSTRIA (DE LA) 32 - 1º",28108,"POLIGONO INDUSTRIAL",916617119 / 670057261 / 902176076,+34916613848,"agarcia@informa.es","http://www.informa.es","ANA MARIA GARCIA PEREZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","SUMINISTRA INFORMACION COMERCIAL, FINANCIERA Y DE MARKETING DE EMPRESAS Y EMPRESARIOS",40.53412153,-3.65245488
"INFOTRACK AUTOMATIZACIONES,","CL VALGRANDE (DE) 27 - NAVE G",28108,"POLIGONO INDUSTRIAL",+34917355138,+34917355139,"automatizaciones@infotrack.es","http://www.infotrack.es","JOSE LUIS CRISTOBAL LOPEZ","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","AUTOMATIZACIONES INDUSTRIALES",40.53876044,-3.65397459
"INFRIOL","CL JOSE ECHEGARAY (DE) 14 - EDIF. A2,  PLTA. 3 Nº 4",28100,"PARQUE EMP. CASABLANCA",+34916618126,+34916621895,"info@infriol.es","NO DISPONIBLE","ALEXANDRE VELAZQUEZ","","FRIO INDUSTRIAL","FRIO INDUSTRIAL",40.54240057,-3.65446836
"INGENIA PROYECTOS Y SOLUCIONES","CL REYES CATOLICOS (DE LOS) 6",28108,"POLIGONO INDUSTRIAL",+34918256262,NO DISPONIBLE,"ingenia@ingenia-proyectos.es","http://www.ingenia-proyectos.es","MONICA PASTOR","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","INGENERIA Y ESTUDIO DE PROYECTOS DE INSTALACIONES ELECTRICAS, TELEFONIA/MEGAFONIA. INSTALACION DE REDES INFORMATICAS. CLIMATIZACION",40.53652585,-3.65212849
"INGENIERIA Y CONTROL FERROVIARIO","CL GRANJA (DE LA) 74",28108,"POLIGONO INDUSTRIAL",+34914901519,NO DISPONIBLE,"ingenieria@icf.com.es","http://www.icf.com.es","DANIELA CARBONE","","OBRAS PUBLICAS. SEÑALIZACION DE CARRETERAS Y FERROVIARIAS","OFICINAS DE INGENIERIA FERROVIARIA",40.53291634,-3.65694720
"INGRAM MICRO","CL CANTABRIA (DE) 2 - EDIFICIO AMURA PLANTA 3 B-1",28100,"POLIGONO INDUSTRIAL",647744461/902506210,NO DISPONIBLE,"eduardo.ruiz@ingrammicro.com","http://www.ingrammicro.com","EDUARDO RUIZ MONTES","","INFORMATICA","MAYORISTAS DE INFORMATICA",
"INMOBILIARIA ALCERA","AV INDUSTRIA (DE LA) 37 - 3º PLANTA, OFICINA 5",28108,"POLIGONO INDUSTRIAL",+34911416100,+34918032253,"alcera1@gmail.com","NO DISPONIBLE","ALBERTO LARRAÑAGA","","INMOBILIARIAS Y CONSTRUCTORAS","INMOBILIARIA",40.53389907,-3.65273873
"INMOGOZA","CL CANTABRIA (DE) 2 1º PLANTA EDF. AMURA",28100,"POLIGONO INDUSTRIAL",+34912997800,NO DISPONIBLE,"departamento.personal@ogoza.com","http://www.ogoza.com","ALFREDO OLMEDA","","INMOBILIARIAS Y CONSTRUCTORAS","AGENTES DE LA PROPIEDAD INMOBILIARIA",
"INTER SYSTEMS IBERIA","AV EUROPA (DE) 12 - 1 B EDIFICIO MONACO",28108,"PARQUE EMP. MORALEJA",+34914841880,+34916626084,"jacinto.tejero@intersystems.com","http://www.intersystems.com","JACINTO TEJERO","","INFORMATICA","DISTRIBUIDORES DE SOFTWARE",40.51840775,-3.65598115
"INTRUM SERVICING SPAIN","AV BRUSELAS (DE) 8 1ºPLANTA",28100,"ARROYO DE LA VEGA",+34914847850,NO DISPONIBLE,"bo.atencioncliente@intrum.com","http://www.lindorff.es","NO DISPONIBLE","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","GESTION DE CREDITO Y RECOBRO",40.53069576,-3.62944399
"INUTRALIA","CL GRANJA (DE LA) 15",28108,"POLIGONO INDUSTRIAL",+34917374361,NO DISPONIBLE,"jdelosreyes@inutralia.com/info@inutralia.com","http://www.inutralia.com/","Manuel Ruiz Garay","","SERVICIOS MEDICOS","NUTRICION ON LINE, PROFESIONALES DE LA SALUD PARA AYUDAR A REALIZAR UNA VIDA MAS SALUDABLE",40.52911402,-3.65827511
"INV PROTECCION","AV DOCTOR SEVERO OCHOA (DEL) 38 - 2ª PLANTA, OFICINA 4",28100,"PARQUE EMP. CASABLANCA",902565083 / 914902157,+34914841475,"raquel.frances@inv.corporate.com","http://www.invseguridad.com","ROBERTO BOLDU","","SERVICIOS DE SEGURIDAD, PREVENCION Y EMERGENCIAS. RIESGOS LABORALES","CENTRAL RECEPTORA DE ALARMAS E INSTALACION DE SISTEMAS DE SEGURIDAD",40.54091291,-3.65506360
"INVARAT","AV INDUSTRIA (DE LA) 4 -EDF. 1 ESC.2  1º",28108,"POLIGONO INDUSTRIAL",+34902551534,NO DISPONIBLE,"info@invarat.com","http://www.invarat.com","HECTOR IZQUIERDO","","INMOBILIARIAS Y CONSTRUCTORAS","PERITACIONES Y TASACIONES",40.53543008,-3.64232167
"INVERSIONES, OPORTUNIDADES Y NEGOCIOS","CL FRANCISCO GERVAS (DE) 13",28108,"POLIGONO INDUSTRIAL",+34916612917,NO DISPONIBLE,"estacionesdeserviciosion@gmail.com","NO DISPONIBLE","ENRIQUE RUBIO","","ESTACIONES DE SERVICIO Y EMPRESAS AUXILIARES","ESTACION DE SERVICIO",40.53332094,-3.65225763
"IRISFARMA","AV INDUSTRIA (DE LA) 30",28108,"POLIGONO INDUSTRIAL",+34916635000,+34916635184,"santander_jorge@lilly.com","http://www.lilly.es","ALEJANDRO DE SIMON","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","FARMACEUTICA",40.53425345,-3.65158382
"IRON MOUNTAIN ESPAÑA","CL REYES CATOLICOS (DE LOS) 6",28108,"POLIGONO INDUSTRIAL",+34916610120,+34916619992,"recepcion@ironmountain.es","http://www.ironmountain.es","CLARA SALAS","","INFORMATICA","SERVICIO DE CUSTODIA DE ARCHIVOS INFORMATICOS EN SOPORTES MAGNETICOS",40.53652585,-3.65212849
"ISOLANA","CL SAN JOSE ARTESANO (DE) 18",28108,"POLIGONO INDUSTRIAL",+34916619111,+34916615169,"alcobendas@isolana.es","http://www.isolana.es","FERNANDO RODRIGUEZ","","MATERIAL DE CONSTRUCCION, FONTANERIA.  SANEAMIENTOS, PUERTAS, ARMARIOS Y TOLDOS","MATERIALES DE CONSTRUCCION",40.52949154,-3.65446793
